"date","site","heure_obs","fraction","nom_sci","abondance","largeur_riviere","profondeur_riviere","vitesse_courant","transparence_eau","temperature_eau_c","ID_observation","id_date","abondance_totale","famille"
"2021-10-01","100_92_R01","10:00:00",0.208333333333333,"Baetis",3,3.86,0.26,2.644,"élevée",10.8,1,0,1440,"Ephemerellidae"
"2021-10-01","100_92_R01","10:00:00",0.208333333333333,"Ephemerella",40,3.86,0.26,2.644,"élevée",10.8,2,0,19200,"Ephemerellidae"
"2021-10-01","100_92_R01","10:00:00",0.208333333333333,"Eurylophella",1,3.86,0.26,2.644,"élevée",10.8,3,0,480.000000000001,"Ephemerellidae"
"2021-10-01","100_92_R01","10:00:00",0.208333333333333,"Epeorus",8,3.86,0.26,2.644,"élevée",10.8,4,0,3840.00000000001,"Heptageniidae"
"2021-10-01","100_92_R01","10:00:00",0.208333333333333,"Leucrocuta",3,3.86,0.26,2.644,"élevée",10.8,5,0,1440,"Heptageniidae"
"2021-10-01","100_92_R01","10:00:00",0.208333333333333,"Leptophlebiidae",12,3.86,0.26,2.644,"élevée",10.8,6,0,5760.00000000001,"Leptophlebiidae"
"2021-10-01","100_92_R01","10:00:00",0.208333333333333,"Glossosoma",3,3.86,0.26,2.644,"élevée",10.8,7,0,1440,"Glossosomatidae"
"2021-10-01","100_92_R01","10:00:00",0.208333333333333,"Hydropsychidae",2,3.86,0.26,2.644,"élevée",10.8,8,0,960.000000000001,"Hydropsychidae"
"2021-10-01","100_92_R01","10:00:00",0.208333333333333,"Ceratopsyche",21,3.86,0.26,2.644,"élevée",10.8,9,0,10080,"Hydropsychidae"
"2021-10-01","100_92_R01","10:00:00",0.208333333333333,"Hydropsyche",2,3.86,0.26,2.644,"élevée",10.8,10,0,960.000000000001,"Hydropsychidae"
"2021-10-01","100_92_R01","10:00:00",0.208333333333333,"Lepidostoma",9,3.86,0.26,2.644,"élevée",10.8,11,0,4320.00000000001,"Lepidostomatidae"
